raw_name
glutamate decarboxylase cds
glutathione-dependent formaldehyde dehydrogenase cds
glxk cds
glycine zipper 2tm domain-containing protein cds
glycoside hydrolase family 10 protein cds
glycoside hydrolase family 25 protein cds
glycosyltransferase family 9 protein cds
gntp cds
gntp family transporter cds
gntr family transcriptional regulator cds
gpma cds
gpr cds
gsic cds
gsid cds
gspd cds
gspe cds
gspj cds
gspk cds
gspo cds
gtp pyrophosphokinase cds
guac cds
guad cds
gudp cds
hcab cds
hcar cds
hcp cds
hcxa cds
held cds
hemw cds
hemx cds
hipa cds
hisa cds
hisp cds
hisq cds
hlde cds
hlyc/corc family transporter cds
hofq cds
hoke cds
holc cds
hold cds
hpab cds
hpad cds
hpar cds
hprs cds
hsca cds
hsdm cds
htpg cds
hupa cds
hupb cds
hyaa cds
hyae cds
hyca cds
hydrolase cds
hyfa cds
hyfb cds
hyfc cds
hyfg cds
hyfh cds
hyfr cds
hype cds
hypf cds
hypothetical protein cds
iap cds
icd cds
idnd cds
ilvn cds
infb cds
insulinase family protein cds
integrase arm-type dna-binding domain-containingprotein cds
ion channel protein cds
ipra cds
is1 family transposase cds
is3 family transposase cds
is3-like element isecb1 family transposase cds
isas1 family transposase cds
iscr cds
isovaleryl-coa dehydrogenase cds
ispe cds
isph cds
katg cds
kbaz cds
kbp cds
kdgr cds
kdpa cds
kdsb cds
kef family k(+) transporter cds
ketose-bisphosphate aldolase cds
kgtp cds
laci family dna-binding transcriptional regulator cds
lacy cds
lacz cds
lamb cds
lapb cds
lbetah domain-containing protein cds
ldcc cds
ldha cds
ldtd cds
ldte cds
lepa cds
leua cds
leus cds
lexa cds
lgod cds
lgt cds
lhgo cds
lipocalin family protein cds
lola cds
lptd cds
lptf cds
lpxc cds
lpxk cds
lpxp cds
lspa cds
lysb family phage lysis regulatory protein cds
lysc cds
lysozyme inhibitor lpri family protein cds
lysp cds
lysr family transcriptional regulator cds
lyss cds
lyxk cds
maca cds
macb cds
maea cds
maeb cds
male cds
malk cds
malq cds
malt cds
malx cds
malz cds
mannitol dehydrogenase family protein cds
maop cds
matp cds
mcrb cds
mdoh cds
mdta cds
mdtb cds
mdtf cds
mdth cds
mdtn cds
melb cds
melr cds
menc cds
meth cds
meti cds
metn cds
mfs transporter cds
mglc cds
mhpr cds
miab cds
minc cds
mipa cds
mlaa cds
mlaf cds
mltd cds
mnmc cds
mnts cds
moae cds
moba cds
modb cds
modc cds
modf cds
moea cds
molecular chaperone cds
molybdopterin-dependent oxidoreductase mo/fe-s-binding subunit cds
mpl cds
mrcb cds
mrda cds
mrdb cds
msck cds
mscm cds
msra cds
mukb cds
multidrug efflux rnd transporter permease subunit cds
mure cds
murp cds
muth cds
mutl cds
muts cds
n-acetylmannosamine-6-phosphate 2-epimerase cds
n-acetyltransferase cds
nad(p)-dependent oxidoreductase cds
nade cds
nadk cds
nadr cds
naga cds
nagc cds
nagd cds
nage cds
nank cds
napa cds
napf cds
naph cds
narw cds
ndh cds
neutral zinc metallopeptidase cds
nicotinamide mononucleotide deamidase-related protein yfay cds
nika cds
nike cds
nitrate reductase subunit alpha cds
nlpe cds
nnr cds
norr cds
nrfa cds
nrff cds
nth cds
nudf cds
nuoc cds
nuof cds
nuog cds
nuon cds
nupc/nupg family nucleoside cnt transporter cds
nusa cds
odhb cds
ompg cds
ompt cds
opgb cds
opge cds
oppa cds
osme cds
osmf cds
otsa cds
otsb cds
pabb cds
pagp cds
panb cds
pane cds
paob cds
paoc cds
paod cds
parb/repb/spo0j family partition protein cds
parc cds
patatin family protein cds
pbga cds
pcnb cds
pdeb cds
pdef cds
pdxa cds
pdxb cds
pdxj cds
pdxk cds
pepa cds
pepb cds
pepn cds
pepp cds
pept cds
pfka cds
pflb cds
