gene
acs
adk
biotin
cmk
etk
fau
glk
gmk
gsk
gss
lhr
mak
mpl
ndk
oleate
pck
pgk
ppk
prenol
prs
pta
selenide
sulfate
tdk
tmk
udk
wzc
