line,gene,is_ATP_gene
Line 7,torc,False
Line 7,tqsa,False
Line 7,trpcf,False
Line 7,tsx,False
Line 7,tsx,False
Line 7,tyrosine-type recombinase/integrase,False
Line 7,usha,False
Line 7,uvrb,False
Line 7,virk/ybjx family protein,False
Line 7,wcae,False
Line 7,wza,False
Line 7,yahk,False
Line 7,ybak,False
Line 7,ybgs-like family protein,False
Line 7,ybib,False
Line 7,ybii,False
Line 7,yccx,False
Line 7,ycdy,False
Line 7,ycei family protein,False
Line 7,yche,False
Line 7,ydep,False
Line 7,yegi,False
Line 7,yejf,False
Line 7,yfal,False
Line 7,yfap family protein,False
Line 7,yjej family protein,False
Line 7,zinc ribbon-containing protein,False
Line 7,zinc-binding dehydrogenase,False
Line 7,purd,True
Line 8,insulinase family protein,False
Line 8,phosphoethanolamine transferase cpta,False
Line 8,hlde,True
Line 8,puta,False
Line 8,mdoh,False
Line 8,epd,False
Line 8,ygfz,False
Line 8,spea,False
Line 8,lgt,False
Line 8,prfa,False
Line 8,guac,False
Line 8,seca,False
Line 8,fecb,False
Line 8,lyxk,True
Line 8,dppa,False
Line 8,scpa,False
Line 8,ubih,False
Line 8,fggy-family carbohydrate kinase,False
Line 8,integrase arm-type dna-binding domain-containingprotein,False
Line 8,phosphoethanolamine transferase,False
Line 8,nnr,False
Line 8,glcf,False
Line 8,hemw,False
Line 8,hyca,False
Line 8,ycce family protein,False
Line 8,ipra,False
Line 8,hold,False
Line 8,alsk,True
Line 8,autotransporter outer membrane beta-barrel domain-containing protein,False
Line 8,mdtb,False
Line 8,daca,False
Line 8,gspk,False
Line 8,hupa,False
Line 8,lspa,False
Line 8,recj,False
Line 8,hyfb,False
Line 8,lptd,False
Line 8,otsb,False
Line 8,reco,False
Line 9,alsk,True
Line 9,puta,False
Line 9,phosphoethanolamine transferase cpta,False
Line 9,phosphoethanolamine transferase,False
Line 9,nika,False
Line 9,psie,False
Line 9,ycce family protein,False
Line 9,fimbrial protein,False
Line 9,pgmb,False
Line 9,adra,False
Line 9,alsk,True
Line 9,hlde,True
Line 9,cysw,False
Line 9,epd,False
Line 9,ygfz,False
Line 9,n-acetylmannosamine-6-phosphate 2-epimerase,False
Line 9,secy,False
Line 9,9-o-acetyl-n-acetylneuraminic acid deacetylase,False
Line 9,acef,False
Line 9,ampg,False
Line 9,arac family transcriptional regulator,False
Line 9,arof,False
Line 9,asps,True
Line 9,astd,False
Line 9,autotransporter outer membrane beta-barrel domain-containing protein,False
Line 9,bifunctional 3-demethylubiquinone 3-o-methyltransferase/2-octaprenyl-6-hydroxy phenol methylase,False
Line 9,biop,False
Line 9,chac,False
Line 9,cpdb,False
Line 9,cysj,False
Line 9,daca,False
Line 9,degq,False
Line 9,deob,False
Line 9,dkga,False
Line 9,dld,False
Line 9,dppa,False
Line 9,dsbd,False
Line 9,dtpc,False
Line 9,duf2625 domain-containing protein,False
Line 9,duf441 domain-containing protein,False
Line 9,eutg,False
Line 9,eutl,False
Line 9,feca,False
Line 9,fecb,False
Line 9,fggy-family carbohydrate kinase,False
Line 9,fimbrial biogenesis outer membrane usher protein,False
Line 9,flgi,False
Line 9,flotillin family protein,False
Line 9,frda,False
Line 9,gard,False
Line 9,ggdef domain-containing protein,False
Line 9,ghxq,False
Line 9,glgp,False
Line 9,gltp,False
Line 9,gpr,False
Line 9,gspe,False
Line 9,gspk,False
Line 9,guac,False
Line 9,hemw,False
Line 9,hold,False
Line 9,hupa,False
Line 9,hyca,False
Line 9,hyfb,False
Line 9,hypothetical protein,False
Line 9,hypothetical protein,False
Line 9,hypothetical protein,False
Line 9,insulinase family protein,False
Line 9,integrase arm-type dna-binding domain-containingprotein,False
Line 9,ipra,False
Line 9,kdpa,False
Line 9,ldtd,False
Line 9,lgt,False
Line 9,lptd,False
Line 9,lspa,False
Line 9,lysr family transcriptional regulator,False
Line 9,lyxk,True
Line 9,maeb,False
Line 9,malt,False
Line 9,mdoh,False
Line 9,mdtb,False
Line 9,molybdopterin-dependent oxidoreductase mo/fe-s-binding subunit,False
Line 9,mutl,False
Line 9,mutl,False
Line 9,nike,False
Line 9,nnr,False
Line 9,otsb,False
Line 9,paod,False
Line 9,parc,False
Line 9,pdef,False
Line 9,pdxb,False
Line 9,phosphoethanolamine transferase,False
Line 9,plp-dependent aminotransferase family protein,False
Line 9,pnp,False
Line 9,prfa,False
Line 9,prop,False
Line 9,pta,False
Line 9,purc,True
Line 9,recj,False
Line 9,reco,False
Line 9,recq,False
Line 9,rimk,True
Line 9,rsga,False
Line 9,rsxg,False
Line 9,scpa,False
Line 9,seca,False
Line 9,sel1-like repeat protein,False
Line 9,serine dehydratase subunit alpha family protein,False
Line 9,spea,False
Line 9,spea,False
Line 9,srld,False
Line 9,sufd,False
Line 9,thib,False
Line 9,thip,False
Line 9,thymidylate kinase,False
Line 9,tigr01777 family oxidoreductase,False
Line 9,tonb-dependent receptor,False
Line 9,torz,False
Line 9,trmj,False
Line 9,tsr,False
Line 9,type iv pilus twitching motility protein pilt,False
Line 9,ubih,False
Line 9,ybdd/yjix family protein,False
Line 9,ychh,False
Line 9,yejo,False
Line 9,ygiw,False
Line 9,ygjg,False
Line 9,ygjk,False
Line 9,yhch/yjgk/yial family protein,False
Line 9,yhdp,False
Line 9,yrbl,False
Line 2,cpsg,False
Line 2,manb,False
Line 2,manc,False
Line 2,insb14/a14,False
Line 2,wbbd,False
Line 2,wbbc,False
Line 2,wzy,False
Line 2,wbbb,False
Line 2,wbba,False
Line 2,viob,False
Line 2,vioa,False
Line 2,wzx,False
Line 2,rmlc,False
Line 2,rfba,False
Line 2,rfbd,False
Line 2,rfbb,False
Line 2,galf,False
Line 2,wcam,False
Line 2,wcal,False
Line 2,wcak,False
Line 2,wzxc,False
Line 2,wcaj,False
Line 3,cpsg,False
Line 3,manb,False
Line 3,manc,False
Line 3,insb14/a14,False
Line 3,wbbd,False
Line 3,wbbc,False
Line 3,wzy,False
Line 3,wbbb,False
Line 3,wbba,False
Line 3,viob,False
Line 3,vioa,False
Line 3,wzx,False
Line 3,rmlc,False
Line 3,rfba,False
Line 3,rfbd,False
Line 3,rfbb,False
Line 3,galf,False
Line 3,wcam,False
Line 3,wcal,False
Line 3,wcak,False
Line 3,wzxc,False
Line 3,wcaj,False
Line 4,cpsg,False
Line 4,manb,False
Line 4,manc,False
Line 4,insb14/a14,False
Line 4,wbbd,False
Line 4,wbbc,False
Line 4,wzy,False
Line 4,wbbb,False
Line 4,wbba,False
Line 4,viob,False
Line 4,vioa,False
Line 4,wzx,False
Line 4,rmlc,False
Line 4,rfba,False
Line 4,rfbd,False
Line 4,rfbb,False
Line 4,galf,False
Line 4,wcam,False
Line 4,wcal,False
Line 4,wcak,False
Line 4,wzxc,False
Line 4,wcaj,False
Line 5,cpsg,False
Line 5,manb,False
Line 5,manc,False
Line 5,insb14/a14,False
Line 5,wbbd,False
Line 5,wbbc,False
Line 5,wzy,False
Line 5,wbbb,False
Line 5,wbba,False
Line 5,viob,False
Line 5,vioa,False
Line 5,wzx,False
Line 5,rmlc,False
Line 5,rfba,False
Line 5,rfbd,False
Line 5,rfbb,False
Line 5,galf,False
Line 5,wcam,False
Line 5,wcal,False
Line 5,wcak,False
Line 5,wzxc,False
Line 5,wcaj,False
Line 7,cpsg,False
Line 7,manb,False
Line 7,manc,False
Line 7,insb14/a14,False
Line 7,wbbd,False
Line 7,wbbc,False
Line 7,wzy,False
Line 7,wbbb,False
Line 7,wbba,False
Line 7,viob,False
Line 7,vioa,False
Line 7,wzx,False
Line 7,rmlc,False
Line 7,rfba,False
Line 7,rfbd,False
Line 7,rfbb,False
Line 7,galf,False
Line 7,wcam,False
Line 7,wcal,False
Line 7,wcak,False
Line 7,wzxc,False
Line 7,wcaj,False
Line 9 ,cpsg,False
Line 9 ,manb,False
Line 9,manc,False
Line 9,insb14/a14,False
Line 9,wbbd,False
Line 9,wbbc,False
Line 9,wzy,False
Line 9,wbbb,False
Line 9,wbba,False
Line 9,viob,False
Line 9,vioa,False
Line 9,wzx,False
Line 9,rmlc,False
Line 9,rfba,False
Line 9,rfbd,False
Line 9,rfbb,False
Line 9,galf,False
Line 9,wcam,False
Line 9,wcal,False
Line 9,wcak,False
Line 9,wzxc,False
Line 9,wcaj,False
Line 10,cpsg,False
Line 10,manb,False
Line 10,manc,False
Line 10,insb14/a14,False
Line 10,wbbd,False
Line 10,wbbc,False
Line 10,wzy,False
Line 10,wbbb,False
Line 10,wbba,False
Line 10,viob,False
Line 10,vioa,False
Line 10,wzx,False
Line 10,rmlc,False
Line 10,rfba,False
Line 10,rfbd,False
Line 10,rfbb,False
Line 10,galf,False
Line 10,wcam,False
Line 10,wcal,False
Line 10,wcak,False
Line 10,wzxc,False
Line 10,wcaj,False
Line 1,cdd,False
Line 2,cdd,False
Line 3,cdd,False
Line 4,cdd,False
Line 5,cdd,False
Line 6,cdd,False
Line 8,cdd,False
Line 9,cdd,False
Line 10,cdd,False
Line 1,yohk,False
Line 2,yohk,False
Line 3,yohk,False
Line 4,yohk,False
Line 5,yohk,False
Line 6,yohk,False
Line 8,yohk,False
Line 9,yohk,False
Line 10,yohk,False
