line,gene,is_ATP_gene
Line 10,emta,False
Line 10,eutg,False
Line 10,fabd,False
Line 10,fhue,False
Line 10,flhb,False
Line 10,glpa,False
Line 10,glsa,False
Line 10,hsca,True
Line 10,htpg,False
Line 10,hype,True
Line 10,hypothetical protein,False
Line 10,hypothetical protein,False
Line 10,hypothetical protein,False
Line 10,hypothetical protein,False
Line 10,lacy,False
Line 10,ldtd,False
Line 10,malx,False
Line 10,multidrug efflux rnd transporter permease subunit,False
Line 10,naga,False
Line 10,napa,False
Line 10,napf,False
Line 10,ndh,False
Line 10,ndh,False
Line 10,nuon,False
Line 10,pagp,False
Line 10,panb,False
Line 10,pbga,False
Line 10,pepb,False
Line 10,pflb,False
Line 10,phage baseplate assembly protein v,False
Line 10,phage tail sheath protein,False
Line 10,purl,True
Line 10,pykf,True
Line 10,rbn,False
Line 10,recj,False
Line 10,sbcc,False
Line 10,ssea,False
Line 10,tam,False
Line 10,thii,False
Line 10,tkt,False
Line 10,tsx,False
Line 10,type 1 fimbrial protein,False
Line 10,tyrosine-type recombinase/integrase,False
Line 10,udk,True
Line 10,vwa domain-containing protein,False
Line 10,wcab,False
Line 10,wcac,False
Line 10,ycho,False
Line 10,ydbh family protein,False
Line 10,yeej,False
Line 10,yegi,False
Line 10,yfcz/yiis family protein,False
Line 10,yfdv,False
Line 10,ygah,False
Line 10,yhdp,False
Line 10,hypothetical protein,False
Line 10,argp,False
Line 2,putative frv operon regulatory protein,False
Line 2,clcb,False
Line 2,deob,False
Line 2,duf1479 domain-containing protein,False
Line 2,trxc,False
Line 2,ychh,False
Line 2,ftsk,False
Line 2,yijd family membrane protein,False
Line 2,lacz,False
Line 2,lola,False
Line 2,phage portal protein,False
Line 2,fad-dependent oxidoreductase,False
Line 2,restriction endonuclease subunit s,False
Line 2,ptra,False
Line 2,ldcc,False
Line 2,recf,False
Line 2,asns,False
Line 2,dnax,False
Line 2,recr,False
Line 2,tcyp,False
Line 2,tora,False
Line 2,ydbh family protein,False
Line 2,yjem,False
Line 2,yqia,False
Line 2,acyltransferase,False
Line 2,arca,False
Line 2,bestrophin family protein,False
Line 2,biof,False
Line 2,citx,False
Line 2,clsc,False
Line 2,csir,False
Line 2,cusa,False
Line 2,cyob,False
Line 2,dnak,False
Line 2,duf4049 domain-containing protein,False
Line 2,evgs,True
Line 2,fadj,False
Line 2,feob,False
Line 2,fepd,False
Line 2,fimbrial biogenesis outer membrane usher protein,False
Line 2,fimbrial protein,False
Line 2,flga,False
Line 2,ggdef domain-containing protein,False
Line 2,glgp,False
Line 2,glpk,True
Line 2,glpk,True
Line 2,hofq,False
Line 2,hyaa,False
Line 2,hypothetical protein,False
Line 2,hypothetical protein,False
Line 2,hypothetical protein,False
Line 2,infb,False
Line 2,kdsb,False
Line 2,lapb,False
Line 2,lhgo,False
Line 2,lptf,False
Line 2,lysc,True
Line 2,mcrb,False
Line 2,mfs transporter,False
Line 2,mfs transporter,False
Line 2,mnmc,False
Line 2,moba,False
Line 2,molybdopterin-dependent oxidoreductase mo/fe-s-binding subunit,False
Line 2,mrdb,False
Line 2,nuog,False
Line 2,ompg,False
Line 2,poxb,False
Line 2,purm,True
Line 2,pyrd,False
Line 2,recb,False
Line 2,rfah,False
Line 2,rhlb,False
Line 2,rnb,False
Line 2,rne,False
Line 2,sbcc,False
Line 2,shet2/espl2 family type iii secretion system effector toxin,False
Line 2,tkt,False
Line 2,tnab,False
Line 2,tonb-dependent receptor,False
Line 2,trpb,False
Line 2,yaep family protein,False
Line 2,ybgi,False
Line 2,yjcs,False
Line 3,mfs transporter,False
Line 3,napa,False
Line 3,protein serac1,False
Line 3,dcrb,False
Line 3,glutamate decarboxylase,False
Line 3,baca,False
Line 3,prov,False
Line 3,lpxc,False
Line 3,ecpb,False
Line 3,lysozyme inhibitor lpri family protein,False
Line 3,bepa,False
Line 3,sufs,False
Line 3,deob,False
Line 3,btud,False
Line 3,arsb,False
Line 3,atos,True
Line 3,srle,False
Line 3,ag43,False
Line 3,3-(3-hydroxy-phenyl)propionate transporter,False
Line 3,abc transporter permease,False
Line 3,abc transporter permease,False
Line 3,acyl coa:acetate/3-ketoacid coa transferase,False
Line 3,aded,False
Line 3,alpha-2-macroglobulin family protein,False
Line 3,alpha-2-macroglobulin family protein,False
Line 3,alpha-2-macroglobulin family protein,False
Line 3,anmk,True
Line 3,apbc,False
Line 3,argh,False
Line 3,astd,False
Line 3,atp-dependent helicase,False
Line 3,atp-dependent helicase,False
Line 3,bcr/cfla family multidrug efflux mfs transporter,False
Line 3,clsc,False
Line 3,cusr,False
Line 3,dhal,False
Line 3,diguanylate cyclase,False
Line 3,duf4049 domain-containing protein,False
Line 3,dusc,False
Line 3,eutl,False
Line 3,evgs,True
Line 3,fad-nad(p)-binding protein,False
Line 3,fimbria/pilus periplasmic chaperone,False
Line 3,fumc,False
Line 3,fusc family protein,False
Line 3,fusc family protein,False
Line 3,ggdef domain-containing protein,False
Line 3,ggdef domain-containing protein,False
Line 3,glutathione-dependent formaldehyde dehydrogenase,False
Line 3,glycoside hydrolase family 10 protein,False
Line 3,hlyc/corc family transporter,False
Line 3,hyae,False
Line 3,hypothetical protein,False
Line 3,idnd,False
Line 3,iscr,False
Line 3,ketose-bisphosphate aldolase,False
Line 3,lbetah domain-containing protein,False
Line 3,ldte,False
