gene,snp_count
hyfb,1
insulinase family protein,1
ybdd/yjix family protein,1
thib,1
thip,1
thymidylate kinase,1
tigr01777 family oxidoreductase,1
torz,1
trmj,1
tsr,1
type iv pilus twitching motility protein pilt,1
ubih,1
yejo,1
ipra,1
ygiw,1
ygjg,1
ygjk,1
yhch/yjgk/yial family protein,1
yrbl,1
qsec,1
nadr,1
purd,1
argp,1
srld,1
sel1-like repeat protein,1
seca,1
scpa,1
kdpa,1
lgt,1
lptd,1
lspa,1
lyxk,1
maeb,1
malt,1
mdoh,1
nike,1
otsb,1
pdxb,1
plp-dependent aminotransferase family protein,1
pnp,1
prfa,1
prop,1
pta,1
recq,1
rsga,1
rsxg,1
trpcf,1
tqsa,1
torc,1
hisq,1
gadx,1
galt,1
gfo/idh/moca family oxidoreductase,1
glxk,1
gntp family transporter,1
gntr family transcriptional regulator,1
gpma,1
guad,1
hcp,1
hoke,1
meti,1
hyfa,1
iap,1
kgtp,1
lepa,1
lgod,1
lysb family phage lysis regulatory protein,1
malz,1
mannitol dehydrogenase family protein,1
matp,1
frma,1
fola,1
flgj,1
fkpb,1
dinb,1
dmpg,1
dmsb,1
dmsc,1
duf1456 family protein,1
duf2754 domain-containing protein,1
duf2773 domain-containing protein,1
duf2799 domain-containing protein,1
electron transfer flavoprotein subunit alpha/fixb family protein,1
elyc,1
emrb,1
endonuclease/exonuclease/phosphatase family protein,1
entb,1
exox,1
fad-binding protein,1
fcl,1
fepa,1
fhub,1
fimh,1
frlb,1
metn,1
tolc,1
rrrd,1
prpd,1
pts sugar transporter subunit iia,1
purk,1
putative acyl-coa thioester hydrolase,1
pyrh,1
rayt,1
rhomboid family intramembrane serine protease,1
rpe,1
rpsj,1
rspa,1
miab,1
rsxc,1
rzod,1
site-specific integrase,1
smda family multidrug abc transporter permease/atp-binding protein,1
sppa,1
ssle,1
tag,1
terminase atpase subunit family protein,1
tolb,1
pqib,1
pote,1
phoh family protein,1
phnm,1
minc,1
mnts,1
moae,1
modb,1
modf,1
moea,1
molecular chaperone,1
nade,1
nagc,1
nagd,1
nank,1
neutral zinc metallopeptidase,1
nitrate reductase subunit alpha,1
opge,1
paoc,1
pcnb,1
pepn,1
phage holin family protein,1
phage major tail tube protein,1
frld,1
cyaa,1
folp,1
srmb,1
mscm,1
nudf,1
lysp,1
mipa,1
tgt,1
pts fructose-like transporter subunit iib,1
rhodanese-related sulfurtransferase,1
purh,1
asns,1
melb,1
recr,1
tora,1
srle,1
dinf,1
mure,1
nlpe,1
nrff,1
tyrs,1
nuoc,1
dcd,1
hyfh,1
deoc,1
dmlr,1
isas1 family transposase,1
sapa,1
yfhm,1
icd,1
mglc,1
opgb,1
puru,1
phoq,1
phet,1
secy,1
ldcc,1
dedd,1
copd,1
dapd,1
qseb,1
rcsc,1
ecpd,1
yghd,1
yjem,1
folm,1
ef2563 family selenium-dependent molybdenum hydroxylase system protein,1
dape,1
dcp,1
ddla,1
duf2500 domain-containing protein,1
duf2502 domain-containing protein,1
duf2773 domain-containing bactofilin,1
duf853 domain-containing protein,1
ebga,1
epmb,1
csda,1
epta,1
era,1
eutb,1
euts,1
exut,1
fad-binding oxidoreductase,1
fdng,1
feab,1
cytochrome o ubiquinol oxidase subunit iii,1
crl,1
ecpe,1
ahr,1
nrfa,1
yeee,1
menc,1
yqia,1
3-phenylpropionate mfs transporter,1
acea,1
acetyl-coa c-acetyltransferase,1
agar,1
aldose 1-epimerase,1
caia,1
alld,1
alsa,1
aminopeptidase,1
antibiotic biosynthesis monooxygenase,1
aspartate-semialdehyde dehydrogenase,1
bamb,1
bamc,1
bett,1
oppa,1
carb,1
n-acetylmannosamine-6-phosphate 2-epimerase,1
prpb,1
cait,1
bepa,1
ftsp,1
deor/glpr transcriptional regulator,1
nupc/nupg family nucleoside cnt transporter,1
glta,1
meth,1
holc,1
ychf,1
yiiq family protein,1
nth,1
rect,1
ppib,1
trxc,1
ankyrin repeat domain-containing protein,1
abc-f family atpase,1
pdxk,1
hcab,1
duf1479 domain-containing protein,1
ecpb,1
is1 family transposase,1
held,1
type vi secretion system tip protein vgrg,1
yeag,1
is3-like element isecb1 family transposase,1
dcrb,1
phosphoethanolamine transferase cpta,1
cynt,1
duf2544 domain-containing protein,1
bcsq,1
pola,1
glycosyltransferase family 9 protein,1
glutamate decarboxylase,1
baca,1
nika,1
clcb,1
tdcc,1
prov,1
cysp,1
lpxc,1
patatin family protein,1
pgac,1
protein phosphatase 2c domain-containing protein,1
ftr1 family protein,1
ilvn,1
type b 50s ribosomal protein l31,1
zape,1
ybha,1
feci,1
trkg,1
