gene
accA
accB
accD
apaH
atpA
atpB
atpC
atpD
atpE
atpF
atpG
atpH
atpI
copA
cysA
cysP
cysU
cysW
fecB
fecC
fecD
fecE
feoB
fepB
fepC
fepD
fepG
fhuB
fhuC
fhuD
hscC
kdpA
kdpB
kdpC
kdpF
lptA
lptB
lptC
lptD
lptE
lptF
lptG
mgtA
modA
modB
modC
mppA
msbA
murF
nikA
nikB
nikC
nikD
nikE
oppA
oppB
oppC
oppD
oppF
pstA
pstB
pstC
pstS
pyrG
rsgA
sbp
sufB
sufC
sufD
sufE
sufS
ybcF
yejA
yejB
yejE
yejF
zntA
znuA
znuB
znuC
