locus_tag
ECB_RS22410
ECB_RS01620
ECB_RS12790
ECB_RS22540
ECB_RS03845
ECB_RS18140
ECB_RS05260
ECB_RS08660
ECB_RS21270
ECB_RS22235
ECB_RS22235
ECB_RS14195
ECB_RS04060
ECB_RS07710
ECB_RS11750
ECB_RS11750
ECB_RS12840
ECB_RS02335
ECB_RS04050
ECB_RS04055
ECB_RS09095
ECB_RS09090
ECB_RS07660
ECB_RS04195
ECB_RS03555
ECB_RS20665
ECB_RS00600
ECB_RS00600
ECB_RS00600
ECB_RS00600
ECB_RS14235
ECB_RS06660
ECB_RS06660
ECB_RS01845
ECB_RS12440
ECB_RS12440
ECB_RS20955
ECB_RS20955
ECB_RS21680
ECB_RS21680
ECB_RS03945
ECB_RS03945
ECB_RS08405
ECB_RS18755
ECB_RS02555
ECB_RS02555
ECB_RS06450
ECB_RS21215
ECB_RS21205
ECB_RS01745
ECB_RS01745
ECB_RS02235
ECB_RS14800
ECB_RS14800
ECB_RS14800
ECB_RS14800
ECB_RS14800
ECB_RS15835
ECB_RS21995
ECB_RS07990
ECB_RS08670
ECB_RS08670
ECB_RS08535
ECB_RS08535
ECB_RS12830
ECB_RS10455
ECB_RS11280
ECB_RS02430
ECB_RS02420
ECB_RS02380
ECB_RS02370
ECB_RS11350
ECB_RS11350
ECB_RS11350
ECB_RS11350
ECB_RS11350
ECB_RS11350
ECB_RS11350
ECB_RS20880
ECB_RS21065
ECB_RS21050
ECB_RS21050
ECB_RS21050
ECB_RS21050
ECB_RS16525
ECB_RS08315
ECB_RS04775
ECB_RS19435
ECB_RS20055
ECB_RS02010
ECB_RS02010
ECB_RS01690
ECB_RS01690
ECB_RS01690
ECB_RS02110
ECB_RS03850
ECB_RS04185
ECB_RS01450
ECB_RS01450
ECB_RS08500
ECB_RS08500
ECB_RS07490
ECB_RS15330
ECB_RS14840
ECB_RS10770
ECB_RS11290
ECB_RS11290
ECB_RS11290
ECB_RS05200
ECB_RS05200
ECB_RS02715
ECB_RS02200
ECB_RS02200
ECB_RS12060
ECB_RS18195
ECB_RS18195
ECB_RS09875
ECB_RS01805
ECB_RS22800
ECB_RS00985
ECB_RS20390
ECB_RS20390
ECB_RS14525
ECB_RS09765
ECB_RS11490
ECB_RS11490
ECB_RS11490
ECB_RS13150
ECB_RS13150
ECB_RS17735
ECB_RS13565
ECB_RS19465
ECB_RS03320
ECB_RS04935
ECB_RS11810
ECB_RS04505
ECB_RS09715
ECB_RS09715
ECB_RS09715
ECB_RS09715
ECB_RS09050
ECB_RS09050
ECB_RS09050
ECB_RS11310
ECB_RS08565
ECB_RS08565
ECB_RS01680
ECB_RS01680
ECB_RS01680
ECB_RS25725
ECB_RS07790
ECB_RS18660
ECB_RS25725
ECB_RS25725
ECB_RS15480
ECB_RS00910
ECB_RS12670
ECB_RS12490
ECB_RS13900
ECB_RS13900
ECB_RS04460
ECB_RS08605
ECB_RS17900
ECB_RS12575
ECB_RS07820
ECB_RS07820
ECB_RS22075
ECB_RS19070
ECB_RS22605
ECB_RS10865
ECB_RS01590
ECB_RS01590
ECB_RS11370
ECB_RS11370
ECB_RS07250
