gene
aas
acea
acef
acetyl
acid
acna
acrd
acyl
add
aded
adhe
adia
adra
aes
agar
ahr
aldo
aldose
alkb
alld
alle
allr
alls
alpha
alr
alsa
alsk
amino
ampg
amph
amtb
and
anion
anmk
ansp
apbc
apbe
appa
apt
araf
arca
arfb
argh
argp
arm
arna
arof
arsb
asns
asps
astd
atos
baca
bama
bamb
bamc
bara
barrel
bcsq
bepa
beta
bett
bglj
biof
biop
blc
bola
btud
btue
caia
cait
carb
ccmc
chaa
chac
chez
citc
citf
citg
citt
citx
class
clcb
clsb
clsc
cmoa
cmob
coda
copd
core
cpdb
cpsb
cpsg
crl
csda
csid
csir
csta
cuer
cusa
cusr
cyaa
cynt
cyob
cysj
cysp
cysw
daca
dacd
dapd
dape
dcd
dcp
dcrb
dcua
ddla
dedd
degq
deob
deoc
deor
dhal
dhar
dinb
dinf
ding
dkga
dld
dmlr
dmpg
dmsb
dmsc
dmsd
dnac
dnae
dnak
dnax
dosp
dpal
dpib
dppa
dsbd
dtpc
dusc
dxs
ebga
ecpb
ecpd
ecpe
efflux
elyc
emra
emrb
emta
enoyl
entb
entf
epd
epmb
epta
era
eutb
eutg
eutl
eutr
euts
evgs
exox
exut
fabd
fadj
fcl
fdec
fdng
feab
feca
fecb
feci
feob
fepa
fepc
fepd
fhub
fhue
fiber
fimc
fimh
fkpb
flavin
flda
fldb
flga
flge
flgi
flgj
flha
flhb
fnr
fola
folc
folm
folp
frda
fre
frlb
frld
frma
frv
fsr
ftse
ftsk
ftsp
fuci
fuck
fuco
fumc
fusa
gadx
galf
galt
gard
garl
garp
gcl
ghxq
glgp
glne
glpa
glpk
glrr
glsa
glta
gltb
gltp
glxk
gntp
gpma
gpr
gsic
gsid
gspd
gspe
gspj
gspk
gspo
guac
guad
gudp
hcab
hcar
hcp
hcxa
held
hemw
hemx
hipa
hisa
hisp
hisq
hlde
hofq
hoke
holc
hold
holin
hpab
hpad
hpar
hprs
hsca
hsdm
htpg
hupa
hupb
hyaa
hyae
hyca
hyfa
hyfb
hyfc
hyfg
hyfh
hyfr
hype
hypf
iap
icd
idnd
ilvn
infb
ion
ipra
iscr
ispe
isph
katg
kbaz
kbp
kdgr
kdpa
kdsb
keto
ketose
kgtp
kinase
lacy
lacz
lamb
lapb
late
ldcc
ldha
ldtd
ldte
lepa
leua
leus
lexa
lgod
lgt
lhgo
linked
lola
lptd
lptf
lpxc
lpxk
lpxp
lspa
lysc
lysis
lysp
lyss
lyxk
maca
macb
maea
maeb
major
male
malk
malq
malt
malx
malz
maop
matp
mcrb
mdoh
mdta
mdtb
mdtf
mdth
mdtn
melb
melr
menc
metal
meth
meti
metn
mglc
mhpr
miab
minc
mipa
mlaa
mlaf
mltd
mnmc
mnts
moae
moba
modb
modc
modf
moea
mpl
mrcb
mrda
mrdb
msck
mscm
msra
mukb
mure
murp
muth
mutl
muts
nade
nadk
nadr
naga
nagc
nagd
nage
nank
napa
napf
naph
narw
ndh
nika
nike
nlpe
nnr
norr
nrfa
nrff
nth
nudf
nuoc
nuof
nuog
nuon
nusa
odhb
ompg
ompt
operon
opgb
opge
oppa
osme
osmf
otsa
otsb
outer
pabb
pagp
panb
pane
paob
paoc
paod
parc
pbga
pcnb
pdeb
pdef
pdxa
pdxb
pdxj
pdxk
pepa
pepb
pepn
pepp
pept
pfka
pflb
pgac
pgmb
pgpa
phage
phenol
phenyl
phet
phnj
phnk
phnm
phoa
phoq
phor
pilus
plda
plsx
plug
pmba
pncb
pnp
pola
polb
porin
portal
pote
potf
poxb
ppib
ppid
pppa
ppsa
ppx
pqib
prc
prfa
prob
prop
prov
prox
prpb
prpc
prpd
psie
pta
ptra
ptsp
purc
purd
purh
purk
purl
purm
purr
puru
puta
puup
pykf
pyrd
pyrh
qseb
qsec
rayt
rbn
rcsc
reca
recb
recc
recf
recj
reco
recq
recr
rect
repeat
rfah
rfba
rfbb
rfbc
rfbd
rhlb
ribbon
ribd
ribf
rimk
rlmi
rlpa
rnb
rne
rodz
rpe
rplc
rpob
rpon
rpsd
rpsj
rrrd
rsga
rspa
rsxc
rsxd
rsxg
rutr
rzod
sapa
sbcb
sbcc
scpa
seca
secy
serc
serine
seta
setb
sgrr
sheath
site
skp
slty
slyb
sodb
spea
speb
spec
spee
sppa
srld
srle
srmb
ssea
ssle
sufb
sufd
sufs
sugar
sula
sure
tag
tail
tam
taua
taub
tcyp
tdcc
tgt
thib
thih
thii
thil
thim
thip
thrs
tip
tkt
tnab
tolb
tolc
tolq
tora
torc
torz
toxin
tqsa
trkg
trmd
trmj
trpb
trxc
tsr
tsx
tube
tyna
tyra
tyrs
ubih
udk
uraa
uracil
usha
usher
uvra
uvrb
uxab
vals
vioa
viob
wbbd
wcab
wcac
wcae
wcaj
wcak
wcal
wcam
wza
wzc
wzxc
wzy
wzzb
xtha
yahk
yajq
ybak
ybgi
ybha
ybib
ybii
ycbx
yccx
ycdy
yche
ychf
ychh
ycho
ydep
ydjg
yeae
yeag
yebt
yeca
yeee
yeej
yegi
yejf
yejo
yfal
yfdv
yfhl
yfhm
ygah
ygfz
yggf
yghd
ygiw
ygjg
ygjk
yhdp
yjcs
yjdn
yjem
ymdb
yqhc
yqia
yrbl
zape
zinc
zipper
