gene
alaS
allK
arcB
argG
argS
aroK
aroL
asnA
asnB
asnS
aspS
atoS
baeS
barA
basS
bidA
birA
btsS
btuR
ccmA
ccmB
citC
citG
coaD
cpxA
creC
cusS
cyaA
cysD
cysN
cysS
dcuS
dpiB
entB
entD
entE
entF
envZ
epmA
etk
evgS
fau
folK
glgC
glnE
glnL
glnS
glrK
gltX
glyQ
glyS
guaA
hisG
hisI
hisS
hprS
hscA
hscB
hypD
hypE
hypF
ileS
kdpD
leuS
lhr
lplA
lysS
lysU
menE
metG
metK
mnmA
moaD
moeB
mogA
nadD
nadE
nadR
nan
narQ
narX
nrdD
paaK
panC
pheS
pheT
phnI
phoQ
phoR
ppsA
proS
prs
pxpA
pxpB
pxpC
pyrS
qseC
radD
rcsC
relA
rimK
rstB
rtcA
selD
selO
serS
spoT
srkA
tcdA
thiF
thrS
tilS
tmcA
torS
trpS
tsaC
tyrS
uhpB
valS
wzc
ybdK
ycaO
ychF
ydjH
yeaG
yegS
ygiC
yjfC
zraS
