gene
-alanine
3-dione
4H
CcmAB
FAD
FMN
GMP
IMP
L-lysine
L-serine
L-valine
P1
XMP
accC
ackA
acs
adenine
adk
alaS
allK
alsK
anmK
araB
arcB
argB
argG
argS
aroK
aroL
asnA
asnB
asnS
aspS
atoS
baeS
barA
basS
bidA
bioD
biotin
birA
btsS
btuR
caiC
carA
carB
ccmA
ccmB
citC
citG
cmk
coaA
coaD
coaE
cobU
cpxA
creC
cusS
cyaA
cysC
cysD
cysN
cysS
dADP
dCDP
dCMP
dGDP
dGMP
dTDP
dTMP
dUMP
dcuS
ddlA
ddlB
dgkA
dgoK
dpiB
entB
entD
entE
entF
envZ
epmA
etk
eutD
evgS
fadD
fadK
fau
folC
folK
frlD
fruK
fucK
galK
garK
glgC
glk
glnA
glnE
glnL
glnS
glpK
glrK
gltX
gluQ
glxK
glyQ
glyS
glycerol
gmk
gntK
gshA
gshB
gsk
gss
guaA
hisG
hisI
hisS
hldE
hprS
hscA
hscB
hypD
hypE
hypF
idnK
ileS
ispE
kdgK
kdpD
leuS
lhr
lplA
lpxK
lsrK
lysC
lysS
lysU
lyxK
mak
menE
metG
metK
metL
mnmA
moaD
moeB
mogA
mpl
murC
murD
murE
murF
nadD
nadE
nadK
nadR
nagK
nanK
narQ
narX
ndk
nrdD
oleate
paaK
panC
pck
pcnB
pdxK
pdxY
pfkA
pfkB
pgk
pheS
pheT
phnI
phnN
phoQ
phoR
pncB
ppk
ppsA
preQ0
prenol
proB
proS
prpE
prs
psuK
pta
purC
purD
purK
purL
purM
purT
puuA
pxpA
pxpB
pxpC
pykA
pykF
pyrS
pyruvate
qseC
queC
radD
rbsK
rcsC
rhaB
ribF
rimK
rstB
rtcA
selD
selO
selenide
serS
srkA
sucC
sucD
sulfate
tRNAAsn
tRNAasp
tcdA
tdcD
tdk
thiD
thiF
thiK
thiL
thiM
thiamine
thrA
thrB
thrS
tilS
tmcA
tmk
torS
trpS
tsaC
tyrS
udk
uhpB
valS
waaP
waaY
wzc
xylB
ybdK
ycaO
ychF
ydjH
yeaG
yegS
ygiC
yihV
yjfC
zraS
