line,total_mutations,atp_mutations,odds_ratio,p_value
line_4,232,20,1.8458352508053382,0.01936029338848948
line_6,46,6,2.865068493150685,0.02694114675862939
line_7,286,21,1.5375138734739178,0.09192439420685296
line_5,89,7,1.621559633027523,0.217023213582065
line_3,111,8,1.4746543778801844,0.27165511855683705
line_10,152,10,1.3367179823124795,0.34705071745112126
line_1,166,11,1.3490503466988242,0.3629958042291557
line_2,107,5,0.9182263814616756,1.0
line_9,154,7,0.8903451288772389,1.0
