accC
ackA
acs
adk
alaS
allK
alsK
anmK
araB
arcB
argB
argG
argS
aroK
aroL
asnA
asnB
aspS
atoS
baeS
barA
basS
bidA
bioD
birA
btsS
btuR
caiC
carA
carB
ccmA
ccmB
citC
citG
cmk
coaA
coaD
coaE
cobU
cpxA
creC
cusS
cyaA
cysC
cysD
cysN
cysS
dcuS
ddlA
ddlB
dgkA
dgoK
dpiB
entB
entD
entE
entF
envZ
epmA
etk
evgS
fau
folC
folK
frlD
fruK
fucK
galK
garK
glgC
glk
glnA
glnE
glnL
glnS
glpK
glrK
gltX
glxK
glyQ
glyS
gmk
gntK
gshA
gshB
gsk
gss
guaA
hisG
hisI
hisS
hldE
hprS
hscA
hscB
hypD
hypE
hypF
idnK
ileS
ispE
kdgK
kdpD
leuS
lhr
lplA
lpxK
lsrK
lysC
lysS
lysU
lyxK
mak
menE
metG
metK
metL
mnmA
moaD
moeB
mogA
mpl
murC
murD
murE
nadD
nadE
nadK
nadR
nagK
nanK
narQ
narX
ndk
nrdD
paaK
panC
pck
pdxK
pdxY
pfkA
pfkB
pgk
pheS
pheT
phnI
phnN
phoQ
phoR
pncB
ppk
ppsA
proB
proS
prpE
prs
psuK
purC
purD
purK
purL
purM
purT
puuA
pxpA
pxpB
pxpC
pykA
pykF
pyrG
pyrH
pyrS
qseC
queC
radD
rbsK
rcsC
relA
rhaB
ribF
rimK
rstB
rtcA
selD
selO
serS
spoT
srkA
sucC
sucD
tcdA
tdcD
tdk
thiD
thiF
thiK
thiL
thiM
thrA
thrB
thrS
tilS
tmcA
tmk
torS
trpS
tsaC
tyrS
udk
uhpB
valS
waaP
waaY
wzc
xylB
ybdK
ycaO
ychF
ydjH
yeaG
yegS
ygiC
yihV
yjfC
zraS
