b_number,gene_name,reactions
b1682,sufC,S2FE2SR|S2FE2SS|S2FE2SS2
b1683,sufB,S2FE2SR|S2FE2SS|S2FE2SS2
b1709,btuD,ADOCBLabcpp|CBIuabcpp|CBL1abcpp
b1711,btuC,ADOCBLabcpp|CBIuabcpp|CBL1abcpp
b1723,pfkB,PFK
b1849,purT,ACKr|GART
b1854,pykA,PYK
b1857,znuA,ZNabcpp
b1858,znuC,ZNabcpp
b1859,znuB,ZNabcpp
b1900,araG,ARBabcpp
b1901,araF,ARBabcpp
b1917,yecC,CYSabcpp
b1918,yecS,CYSabcpp
b1920,fliY,CYSabcpp
b1993,cobU,ADOCBIK
b2066,udk,CYTDK1|URIK1
b2103,thiD,HMPK1|PMPK
b2104,thiM,HETZK
b2128,yehW,CHLabcpp|GLYBabcpp
b2129,yehX,CHLabcpp|GLYBabcpp
b2130,yehY,CHLabcpp|GLYBabcpp
b2131,osmF,CHLabcpp|GLYBabcpp
b2148,mglC,GALabcpp|GLCabcpp
b2149,mglA,GALabcpp|GLCabcpp
b2150,mglB,GALabcpp|GLCabcpp
b2166,psuK,PSURIK
b2168,fruK,FRUK
b2177,yejA,3PEPTabcpp|4PEPTabcpp
b2178,yejB,3PEPTabcpp|4PEPTabcpp
b2179,yejE,3PEPTabcpp|4PEPTabcpp
b2180,yejF,3PEPTabcpp|4PEPTabcpp
b2197,ccmE,PHEMEabcpp
b2198,ccmD,PHEMEabcpp
b2199,ccmC,PHEMEabcpp
b2200,ccmB,PHEMEabcpp
b2201,ccmA,PHEMEabcpp
b2296,ackA,ACKr
b2306,hisP,ARGabcpp|HISabcpp|LYSabcpp|ORNabcpp
b2307,hisM,ARGabcpp|HISabcpp|LYSabcpp|ORNabcpp
b2308,hisQ,ARGabcpp|HISabcpp|LYSabcpp|ORNabcpp
b2309,hisJ,HISabcpp
b2310,argT,ARGabcpp|LYSabcpp|ORNabcpp
b2315,folC,DHFS
b2316,accD,ACCOAC
b2388,glk,HEX1
b2418,pdxK,HMPK1|PYDAMK|PYDXK|PYDXNK
b2422,cysA,MOBDabcpp|SELabcpp|SLNTabcpp|SULabcpp|TSULabcpp
b2423,cysW,MOBDabcpp|SELabcpp|SLNTabcpp|SULabcpp|TSULabcpp
b2424,cysU,MOBDabcpp|SELabcpp|SLNTabcpp|SULabcpp|TSULabcpp
b2425,cysP,MOBDabcpp|SELabcpp|SLNTabcpp|SULabcpp|TSULabcpp
b2476,purC,PRASCSi
b2499,purM,PRAIS
b2501,ppk,PPK|PPK2
b2518,ndk,NDPK1|NDPK2|NDPK3|NDPK4|NDPK5|NDPK6|NDPK7|NDPK8
b2557,purL,PRFGS
b2615,nadK,NADK
b2677,proV,CRNDabcpp|CRNabcpp|CTBTabcpp|GLYBabcpp|PROabcpp
b2678,proW,CRNDabcpp|CRNabcpp|CTBTabcpp|GLYBabcpp|PROabcpp
b2679,proX,CRNDabcpp|CRNabcpp|CTBTabcpp|GLYBabcpp|PROabcpp
b2688,gshA,GLUCYS
b2750,cysC,ADSK
b2780,pyrG,CTPS2
b2803,fucK,FCLK
b2926,pgk,PGK
b2947,gshB,GTHS
b2988,gss,GSPMDS
b3052,hldE,GMHEPK
