gene_name
alsa
alsk
anmk
araf
arsb
btud
carb
ccmc
cysp
cysw
ddla
dppa
fecb
feob
fepc
fepd
fhub
folc
frld
fuck
glpk
glxk
gsic
gsid
hisp
hisq
hlde
ispe
kdpa
lptd
lptf
lpxk
lysc
lyxk
male
malk
meti
metn
mglc
modb
modc
mpl
mure
nadk
nank
nika
nike
oppa
osmf
pdxk
pfka
pncb
potf
prob
prov
prox
purc
purd
purk
purl
purm
pykf
pyrh
ribf
rsga
sufb
sufd
sufs
taua
taub
thib
thil
thim
thip
udk
yejf
