gene
-alanine
3-dione
4H
ADP
AMP
ATP
CDP
CMP
CO2
CcmAB
D-alanine
D-ribulose
D-tyrosine
D-xylulose
FAD
FMN
GDP
GMP
H2O
IMP
L-alanine
L-arginine
L-cysteine
L-fuculose
L-leucine
L-lysine
L-proline
L-ribulose
L-serine
L-tyrosine
L-valine
L-xylulose
P1
UMP
XMP
accC
acetate
acetyl-CoA
ackA
acs
adenine
adk
alaS
allK
alsK
ammonia
ammonium
anmK
araB
arcB
argB
argG
argS
aroK
aroL
asnA
asnB
asnS
aspS
atoS
baeS
barA
basS
bidA
bioD
biotin
birA
btsS
btuR
caiC
carA
carB
carbamate
ccmA
ccmB
citC
citG
cmk
coaA
coaD
coaE
cobU
cpxA
creC
cusS
cyaA
cyclic-AMP
cysC
cysD
cysN
cysS
cytidine
dADP
dATP
dCDP
dCMP
dGDP
dGMP
dGTP
dTDP
dTMP
dTTP
dUMP
dcuS
ddlA
ddlB
dgkA
dgoK
dpiB
entB
entD
entE
entF
envZ
epmA
etk
eutD
evgS
fadD
fadK
fau
folC
folK
formate
frlD
fruK
fucK
galK
garK
glgC
glk
glnA
glnE
glnL
glnS
glpK
glrK
gltX
gluQ
glxK
glyQ
glyS
glycerol
glycine
gmk
gntK
gshA
gshB
gsk
gss
guaA
guanosine
hisG
hisI
hisS
hldE
hprS
hscA
hscB
hypD
hypE
hypF
idnK
ileS
inosine
ispE
kdgK
kdpD
leuS
lhr
lplA
lpxK
lsrK
lysC
lysS
lysU
lyxK
mak
menE
metG
metK
metL
mnmA
moaD
moeB
mogA
mpl
murC
murD
murE
murF
nadD
nadE
nadK
nadR
nagK
nanK
narQ
narX
ndk
nicotinate
nrdD
octanoate
oleate
oleoyl-CoA
paaK
palmitate
panC
pck
pcnB
pdxK
pdxY
pfkA
pfkB
pgk
pheS
pheT
phnI
phnN
phoQ
phoR
phosphate
pncB
ppk
ppsA
preQ0
prenol
proB
proS
propanoate
prpE
prs
psuK
pta
purC
purD
purK
purL
purM
purT
putrescine
puuA
pxpA
pxpB
pxpC
pykA
pykF
pyrS
pyridoxal
pyridoxine
pyruvate
qseC
queC
radD
rbsK
rcsC
rhaB
ribF
riboflavin
ribokinase
rimK
rstB
rtcA
selD
selO
selenide
serS
shikimate
spermidine
srkA
sucC
sucD
succinate
sulfate
tRNAAsn
tRNAasp
tcdA
tdcD
tdk
thiD
thiF
thiK
thiL
thiM
thiamine
thrA
thrB
thrS
thymidine
tilS
tmcA
tmk
torS
triglycine
trpS
tsaC
tyrS
udk
uhpB
uridine
valS
waaP
waaY
wzc
xylB
ybdK
ycaO
ychF
ydjH
yeaG
yegS
ygiC
yihV
yjfC
zraS
